postcode,suburb,state,latitude,longitude
4000,Brisbane Adelaide Street,QLD,-27.454,153.0426
4000,Petrie Terrace,QLD,-27.463,153.0131
4000,Brisbane City,QLD,-27.4679,153.0281
4000,Brisbane GPO,QLD,-27.4651,153.0231
4000,Spring Hill,QLD,-27.4614,153.0231
4000,Brisbane,QLD,-27.4679,153.0281
4001,Riverside Centre,QLD,-27.5,153.0167
4001,Waterfront Place,QLD,-27.5,153.0167
4001,Central Plaza,QLD,-27.5,153.0167
4001,Brisbane,QLD,-27.4679,153.0281
4002,Wintergarden,QLD,-27.454,153.0426
4002,City East,QLD,-27.454,153.0426
4003,George Street,QLD,-27.454,153.0426
4004,Spring Hill,QLD,-27.4614,153.0231
4005,Teneriffe,QLD,-27.4559,153.047
4005,New Farm,QLD,-27.4667,153.05
4006,Fortitude Valley BC,QLD,-27.4473,153.032
4006,Fortitude Valley,QLD,-27.4571,153.0318
4006,Bowen Hills,QLD,-27.4432,153.0302
4006,Newstead,QLD,-27.4436,153.0443
4006,Herston,QLD,-27.4445,153.0185
4007,Hamilton Central,QLD,-27.4417,153.0667
4007,Hamilton,QLD,-27.439,153.0629
4007,Ascot,QLD,-27.4315,153.058
4008,Brisbane Airport,QLD,-27.3947,153.114
4008,Pinkenba,QLD,-27.428,153.1167
4009,Eagle Farm BC,QLD,-27.4306,153.0906
4009,Eagle Farm,QLD,-27.4333,153.0833
4010,Albion BC,QLD,-27.4301,153.0379
4010,Albion DC,QLD,-27.4301,153.0379
4010,Albion,QLD,-27.4301,153.0379
4011,Clayfield,QLD,-27.4189,153.0582
4011,Hendra,QLD,-27.4177,153.0703
4012,Wavell Heights North,QLD,-27.3974,153.0546
4012,Wavell Heights,QLD,-27.3938,153.047
4012,Toombul,QLD,-27.4096,153.0584
4012,Nundah,QLD,-27.4025,153.0617
4013,Northgate,QLD,-27.4,153.0667
4014,Virginia BC,QLD,-27.3783,153.0768
4014,Virginia DC,QLD,-27.3783,153.0768
4014,Virginia,QLD,-27.3833,153.0667
4014,Nudgee,QLD,-27.3691,153.0847
4014,Banyo,QLD,-27.3824,153.079
